article_id,week_nb,market,sales_prediction_pcs,order_suggestion_pcs
1744192,201820,GB,260,9258
1744192,201821,GB,660,0
1744192,201822,GB,767,0
1744192,201823,GB,793,0
1744192,201824,GB,809,7075
1744192,201825,GB,793,0
1744192,201826,GB,765,0
1744192,201827,GB,722,0
1744192,201828,GB,667,0
1744192,201829,GB,633,0
1744192,201830,GB,554,0
1744192,201831,GB,467,0
1744192,201832,GB,377,0
1744192,201820,SE,169,5554
1744192,201821,SE,486,0
1744192,201822,SE,556,0
1744192,201823,SE,468,0
1744192,201824,SE,475,2597
1744192,201825,SE,319,0
1744192,201826,SE,414,0
1744192,201827,SE,390,0
1744192,201828,SE,360,0
1744192,201829,SE,265,0
1744192,201830,SE,272,0
1744192,201831,SE,184,0
1744192,201832,SE,92,0
1744192,201815,JP,12,1261
1744192,201816,JP,53,0
1744192,201817,JP,68,0
1744192,201818,JP,72,0
1744192,201819,JP,82,534
1744192,201820,JP,81,0
1744192,201821,JP,76,0
1744192,201822,JP,75,0
1744192,201823,JP,73,0
1744192,201824,JP,69,254
1744192,201825,JP,67,0
1744192,201826,JP,59,0
1744192,201827,JP,56,0
1744192,201828,JP,48,0
1744192,201818,DE,730,14927
1744192,201819,DE,1088,0
1744192,201820,DE,1067,0
1744192,201821,DE,1308,0
1744192,201822,DE,1258,0
1744192,201823,DE,1109,0
1744192,201824,DE,862,0
1744192,201825,DE,670,0
1744192,201826,DE,526,0
1744192,201827,DE,578,0
1744192,201828,DE,394,0
1744192,201829,DE,333,0
1744192,201830,DE,254,0
1744192,201819,CA,285,3593
1744192,201820,CA,385,0
1744192,201821,CA,413,0
1744192,201822,CA,398,0
1744192,201823,CA,379,1105
1744192,201824,CA,352,0
1744192,201825,CA,332,0
1744192,201826,CA,297,0
1744192,201827,CA,248,0
1744192,201828,CA,205,0
1744192,201829,CA,173,0
1744192,201830,CA,144,0
1744192,201831,CA,110,0
1744192,201817,BE,692,17001
1744192,201818,BE,968,0
1744192,201819,BE,1171,0
1744192,201820,BE,1132,0
1744192,201821,BE,1230,0
1744192,201822,BE,1201,0
1744192,201823,BE,1196,0
1744192,201824,BE,1143,0
1744192,201825,BE,918,0
1744192,201826,BE,802,0
1744192,201827,BE,801,0
1744192,201828,BE,554,0
1744192,201829,BE,359,0
1744194,201817,GB,123,7884
1744194,201818,GB,313,0
1744194,201819,GB,364,0
1744194,201820,GB,376,0
1744194,201821,GB,384,0
1744194,201822,GB,376,0
1744194,201823,GB,363,0
1744194,201824,GB,342,0
1744194,201825,GB,316,0
1744194,201826,GB,300,0
1744194,201827,GB,263,0
1744194,201828,GB,221,0
1744194,201829,GB,179,0
1744194,201817,CN,102,5226
1744194,201818,CN,268,0
1744194,201819,CN,308,0
1744194,201820,CN,323,0
1744194,201821,CN,329,1652
1744194,201822,CN,323,0
1744194,201823,CN,318,0
1744194,201824,CN,310,0
1744194,201825,CN,276,0
1744194,201826,CN,246,0
1744194,201827,CN,217,0
1744194,201828,CN,185,0
1744194,201829,CN,140,0
1744194,201819,SE,77,3486
1744194,201820,SE,193,0
1744194,201821,SE,259,0
1744194,201822,SE,262,0
1744194,201823,SE,215,0
1744194,201824,SE,211,596
1744194,201825,SE,147,0
1744194,201826,SE,183,0
1744194,201827,SE,167,0
1744194,201828,SE,152,0
1744194,201829,SE,110,0
1744194,201830,SE,112,0
1744194,201831,SE,67,0
1744194,201813,JP,13,1643
1744194,201814,JP,48,0
1744194,201815,JP,52,0
1744194,201816,JP,64,0
1744194,201817,JP,69,0
1744194,201818,JP,75,0
1744194,201819,JP,77,0
1744194,201820,JP,76,0
1744194,201821,JP,78,0
1744194,201822,JP,74,0
1744194,201823,JP,67,0
1744194,201824,JP,61,0
1744194,201825,JP,54,0
1744194,201816,DE,640,10921
1744194,201817,DE,686,0
1744194,201818,DE,834,0
1744194,201819,DE,939,0
1744194,201820,DE,840,0
1744194,201821,DE,977,0
1744194,201822,DE,885,0
1744194,201823,DE,748,0
1744194,201824,DE,568,0
1744194,201825,DE,428,0
1744194,201826,DE,311,0
1744194,201827,DE,322,0
1744194,201828,DE,213,0
1744194,201818,CA,132,2092
1744194,201819,CA,178,0
1744194,201820,CA,191,0
1744194,201821,CA,184,0
1744194,201822,CA,175,0
1744194,201823,CA,162,0
1744194,201824,CA,153,0
1744194,201825,CA,137,0
1744194,201826,CA,115,0
1744194,201827,CA,94,0
1744194,201828,CA,80,0
1744194,201829,CA,66,0
1744194,201830,CA,51,0
1744194,201817,BE,553,11585
1744194,201818,BE,773,0
1744194,201819,BE,936,0
1744194,201820,BE,904,0
1744194,201821,BE,983,0
1744194,201822,BE,959,0
1744194,201823,BE,956,0
1744194,201824,BE,913,0
1744194,201825,BE,733,0
1744194,201826,BE,641,0
1744194,201827,BE,640,0
1744194,201828,BE,443,0
1744194,201829,BE,286,0
1748689,201819,GB,43,2316
1748689,201820,GB,110,0
1748689,201821,GB,128,0
1748689,201822,GB,132,0
1748689,201823,GB,135,0
1748689,201824,GB,132,516
1748689,201825,GB,128,0
1748689,201826,GB,120,0
1748689,201827,GB,111,0
1748689,201828,GB,106,0
1748689,201829,GB,92,0
1748689,201830,GB,78,0
1748689,201831,GB,63,0
1748689,201818,CN,80,4388
1748689,201819,CN,209,0
1748689,201820,CN,241,0
1748689,201821,CN,253,0
1748689,201822,CN,258,0
1748689,201823,CN,253,907
1748689,201824,CN,249,0
1748689,201825,CN,243,0
1748689,201826,CN,216,0
1748689,201827,CN,192,0
1748689,201828,CN,169,0
1748689,201829,CN,145,0
1748689,201830,CN,110,0
1748689,201819,PL,58,3841
1748689,201820,PL,179,0
1748689,201821,PL,223,0
1748689,201822,PL,236,0
1748689,201823,PL,229,0
1748689,201824,PL,220,805
1748689,201825,PL,212,0
1748689,201826,PL,203,0
1748689,201827,PL,184,0
1748689,201828,PL,166,0
1748689,201829,PL,141,0
1748689,201830,PL,120,0
1748689,201831,PL,95,0
1748689,201819,SE,64,2816
1748689,201820,SE,161,0
1748689,201821,SE,216,0
1748689,201822,SE,218,0
1748689,201823,SE,179,0
1748689,201824,SE,176,476
1748689,201825,SE,123,0
1748689,201826,SE,152,0
1748689,201827,SE,139,0
1748689,201828,SE,126,0
1748689,201829,SE,91,0
1748689,201830,SE,93,0
1748689,201831,SE,56,0
1748689,201817,US,14,1506
1748689,201818,US,50,0
1748689,201819,US,95,0
1748689,201820,US,123,0
1748689,201821,US,130,990
1748689,201822,US,133,0
1748689,201823,US,122,0
1748689,201824,US,117,0
1748689,201825,US,112,0
1748689,201826,US,97,0
1748689,201827,US,91,0
1748689,201828,US,67,0
1748689,201829,US,54,0
1748689,201815,JP,5,382
1748689,201816,JP,12,0
