article_id,cost_sek,price_sek
1744192,36,199
1744194,35,199
1748689,64,299
1748690,64,299
1751367,100,399
1751369,100,299
1751370,90,399
1752345,40,149
1752346,40,149
1752347,40,149
1772374,82,399
1772380,55,249
1773030,48,199
1773033,45,199
1773036,43,199
1773037,39,199
1774370,99,299
1774400,103,299
1774495,53,249
1774502,71,249
1774504,41,199
1774505,42,199
1774506,65,199
1774507,50,249
1774508,50,249
1774510,136,399
1776285,43,199
1776286,50,199
1776335,29,99
1776341,29,99
1776343,28,99
1778983,54,249
1778984,53,249
1778985,48,249
1779561,20,99
1779562,17,99
1779565,29,99
1780318,30,129
1780319,46,129
1780322,32,129
1780518,42,199
1780519,42,199
1780520,42,199
1781362,38,149
1781429,15,99
1781614,79,299
1781615,86,299
1782239,147,599
1782242,100,299
1782243,100,299
1782750,27,149
1783376,58,249
1783377,60,249
1783378,62,249
1783838,59,249
1783839,57,249
1783840,55,249
1783841,57,249
1783842,61,249
1783843,58,249
1783844,60,249
1783846,58,249
1783848,57,249
1783850,18,99
1783852,18,99
1783853,18,99
1783855,18,99
1783861,17,99
1783866,18,99
1783873,22,99
1783874,20,99
1784833,22,79
1784834,17,79
1784852,18,79
1784853,20,79
1784854,16,79
1784855,18,79
1784874,38,149
1784972,57,249
1786058,19,99
1786956,52,199
1787689,32,99
1787690,30,99
1787691,46,99
1787878,41,149
1787884,74,299
1787885,50,199
1787887,46,199
1788055,146,599
1788310,70,299
1789215,20,99
1789544,38,199
1790474,43,199
1790477,56,299
1790478,56,299
1790481,54,199
1790484,54,199
1790485,61,199
1790516,67,299
1790517,67,299
1790518,58,299
1790539,58,299
1790542,61,299
1792441,102,299
1792447,85,299
1792956,55,249
1792957,55,249
1792958,54,249
1793073,74,299
1793078,76,299
1797085,35,199
1797086,51,249
1797109,61,249
1797110,67,249
1797112,82,199
1797113,57,199
1797115,36,149
1797198,106,299
1798507,18,149
1798508,19,149
1805141,36,149
1805142,36,149
1805324,41,199
1807539,117,499
1807950,28,149
1808750,29,149
1809590,19,99
1809591,19,99
1810008,37,129
1811090,32,129
1811091,22,129
1811093,28,129
1812271,18,99
1812273,16,99
1812274,18,99
1812275,18,99
1812277,18,99
1812282,15,99
1812380,56,249
1812993,32,129
1813033,29,149
1813062,23,99
1813070,23,99
1813696,55,249
1813698,58,249
1813717,62,249
1813787,29,149
1813788,44,149
1813789,42,149
1814130,62,299
1814131,55,299
1814162,17,99
1814181,92,
1814183,87,
1814185,83,
1814602,153,599
1815236,29,129
1815895,43,199
1816121,50,199
1820300,64,299
1820990,26,79
1820991,18,79
1822871,27,99
1822872,18,99
1822875,18,99
1824151,43,199
1824579,19,79
1824580,20,79
1826636,109,499
1828008,43,199
1828013,40,199
1830820,34,149
1831102,18,79
1833940,26,149
1834910,62,249
1834916,71,249
1839435,29,129
1839437,29,129
1839905,212,999
1841459,212,999
1841852,51,199
1844259,60,249
1847794,41,199
1847795,41,199
1848261,48,199
1849257,56,249
1849634,50,199
1850966,63,299
1851195,43,199
1851196,39,199
1851934,36,149
1851944,68,199
1851946,72,199
1853732,95,399
1854148,18,99
1855090,25,129
1855098,40,199
1855213,28,129
1858200,58,249
1858201,56,249
1863289,138,499
1863512,43,199
1864488,115,499
1866070,32,99
1868788,20,149
1868965,97,399
1869006,30,149
1869893,32,129
1873140,35,149
1874251,58,299
1875393,43,199
1875396,53,199
1875832,18,99
1875835,146,599
1877316,92,399
1877342,58,249
1877760,60,249
1879708,43,199
1879710,46,199
1879712,46,199
1879713,48,199
1879714,50,199
1880542,62,299
1880630,25,149
1880674,71,299
1880689,65,249
1880692,74,249
1881113,64,249
1881339,55,249
1881352,18,99
1881773,47,199
1882699,20,149
1883333,20,149
1883882,42,199
1883884,43,199
1884137,43,199
1884139,43,199
1884274,53,299
1884406,48,199
1885020,141,599
1885021,140,599
1885557,60,299
1885873,103,399
1886013,17,99
1886074,37,149
1886079,34,149
1886124,71,299
1886409,51,199
1886651,53,199
1887129,42,199
1887797,42,149
1888770,45,199
1888779,54,199
1888786,43,149
1889082,29,149
1891512,55,249
1892427,20,99
1894124,48,
1894125,56,
1894887,21,99
1895372,39,149
1895998,32,129
1896597,21,99
1897005,25,99
1899488,89,399
1899636,60,299
1899637,58,299
1904212,128,399
1904291,121,399
1904292,121,399
1904507,52,199
1904512,39,149
1905348,35,149
1907067,83,299
1907081,25,149
1907095,24,99
1907511,76,199
1907523,74,249
1907526,74,249
1907540,78,349
1907541,78,349
1907550,71,299
1907571,85,299
1907572,85,299
1907591,85,249
1907592,85,249
1907602,76,299
1907616,76,299
1907639,92,349
1907640,92,349
1907904,62,299
1908102,53,249
1909250,54,199
1909467,69,299
1909468,80,299
1909469,80,299
1909470,83,299
1909471,82,299
1909548,50,249
1910416,40,149
1910420,51,199
1910477,52,199
1910480,50,199
1913815,59,249
1913995,22,149
1917605,43,199
1917606,47,199
1918233,90,399
1918909,88,
1920307,69,299
1920308,69,299
1920310,69,299
1920769,82,399
1920830,82,399
1921036,18,79
1922690,48,249
1922836,93,349
1922860,81,
1924732,57,249
1925477,30,149
1926182,22,149
1926296,78,299
1926319,62,299
1926883,55,299
1927331,51,199
1927342,48,249
1927346,48,249
1927359,58,249
1927530,71,299
1927531,74,299
1928736,147,599
1928888,147,599
1929283,25,99
1929284,20,99
1929920,43,199
1929921,55,199
1929922,83,349
1929924,104,349
1929942,55,249
1929943,55,249
1930404,19,149
1934640,51,249
1934661,79,399
1934725,61,199
1935616,57,
1938168,57,199
1938169,57,199
1938170,60,199
1938679,103,299
1945589,92,299
1945591,92,299
1946549,61,149
1946553,61,149
1946692,90,399
1947353,162,599
1957318,71,299
1958528,46,249
1959469,71,249
1959478,73,249
1959929,25,149
1960395,197,799
1960396,197,799
1961312,61,249
1961538,88,349
1965044,73,249
1969585,94,349
1977082,45,199
1979823,48,199
1979825,49,199
1981408,71,249
1983026,76,
1996634,60,249
1999362,53,199
2001630,90,349
2001758,81,
2007888,50,199
2007889,50,199
2007913,50,199
2011900,69,299
2012376,81,299
2026764,65,199
